2663	185	40	448.75
9601	101	17	88.9
2213	17750	3	49.07
8	2311	11	76.11
1425	59	25	128.75
5677	741	3	32.21
102	12088	4	12.02
682	6027	3	32.35
6093	105	6	15.93
7120	12	8	15.85
4083	111	4	10.54
122	26757	3	27.87
2546	413	5	43.78
3472	3404	6	85.52
1249	1250	6	58.98
768	222	7	36.47
7934	110	13	86.12
108	243	111	257.39
9597	105	3	7.14
38935	108	3	26.27
35702	101	3	17.91
114	16584	5	38.19
106	4209	5	8.64
22925	101	4	16.45
3482	129	3	12.9
104	17201	5	25.43
1716	874	16	189.27
6922	14	5	7.11
13939	10685	3	58.51
124	600	7	14.49
121	3272	5	22.15
243	911	5	25.5
1363	118	3	3.88
103	18950	4	19.28
109	11288	6	32.88
7113	107	18	107.8
107	10528	4	13.91
316	57	17	18.54
31862	5836	4	88.61
7927	102	3	4.3
101	374	101	98.37
2716	106	18	57.32
3039	101	44	165.85
18495	35762	3	76.25
103	5551	4	5.18
102	5412	21	96.67
118	8519	9	68.2
28469	106	3	19.29
101	6280	11	26.66
223	158	51	263.2
133	2718	3	12.49
5243	502	7	81.04
21192	18238	5	123.63
1726	12	28	39.24
105	1583	74	367.35
12	329	74	23.67
128	1169	4	10.62
3528	1246	6	72.47
15493	103	3	9.68
588	235	3	9.7
104	16872	5	25.43
12	17803	3	7.65
22117	57	3	22.43
4846	106	6	14.17
1746	102	15	19.02
122	1192	15	68.02
123	1588	12	58.18
118	30448	3	28.13
817	309	6	35.82
280	21	6	8.6
106	12485	3	10.09
15718	233	3	32.36
24248	10151	4	89.93
522	107	18	8.83
1378	19248	3	47.14
179	972	3	10.32
122	762	9	24.11
121	146	16	4.23
121	2639	7	32.27
12714	57	3	16.78
25448	657	4	64.62
3775	14411	5	90.4
104	4494	4	4.75
102	4726	5	6.22
13942	12	3	5.67
868	57	5	4.42
902	1702	42	594.25
131	2536	9	54.06
12694	59	4	26.82
101	3502	9	7.65
604	2450	5	47.03
1209	102	16	12.77
133	1483	26	190.44
4311	106	13	47.04
161	194	8	11.73
220	452	13	70.24
3646	4493	3	40.6
12	1490	31	40.78
103	930	41	80.44
1145	153	4	14.8
15380	101	8	37.95
482	14	63	57.29
8475	2368	11	190.49
7440	102	4	7.17
12	18888	3	7.65
101	19515	3	8.76
754	2032	5	47.32
397	309	6	27.36
2951	862	3	28.34
2477	325	42	537.5
8515	684	3	34.93
106	12286	3	9.63
494	104	19	4.76
113	2002	11	38.55
295	2901	4	30.88
106	1078	20	32.01
1631	101	26	32.04
112	1870	4	5.77
644	570	6	41.58
118	19726	3	23.09
168	3281	3	17.12
1467	117	5	10.83
19890	279	3	36.65
1051	108	12	16.78
13456	105	6	29.67
715	8	12	55.97
207	1193	7	41.6
115	1865	3	4.77
623	103	30	24.72
6027	14	5	5.76
6703	156	3	21.2
1073	200	4	17.96
7018	108	10	51.54
8427	12	8	19.87
3152	102	10	16.37
5284	1320	24	402.43
16	2673	3	13.59
8	689	3	6.11
142	294	5	6.62
208	1558	16	131.42
118	1042	12	38.43
25327	101	3	11.38
384	139	4	5.44
103	24717	4	23.72
108	6718	5	17.73
107	387	68	135.6
5920	14	9	19.34
104	30927	4	30.08
106	256	105	178.48
2687	109	4	4.89
6759	19242	4	80.65
14262	1370	4	61.16
9790	1225	3	39.71
104	29077	4	30.08
25526	106	5	39.58
110	6792	3	8.71
5464	110	5	16.86
4380	102	5	5.56
137	108	61	7.74
58	119	6	9.28
108	3288	4	6.22
5726	21	3	18.79
83	395	3	8.44
109	3428	5	10.26
101	10281	4	6.68
12	16234	9	53.1
145	113	91	138.69
146	475	15	65.44
3271	173	6	43.49
206	175	7	11.76
38398	12	3	17.7
116	844	5	5.59
171	558	15	80.24
103	15011	3	9.68
3181	104	6	7.06
1128	101	112	391.48
6473	4718	10	178.72
13993	105	4	16.58
4499	102	5	5.88
110	884	7	4.56
109	2064	7	11.97
3169	14	7	3.85
674	1171	4	30.71
108	4175	4	8.04
195	3009	3	17.98
414	276	5	20.16
106	5891	4	7.99
2589	109	4	4.69
3854	2054	3	35.81
22309	101	4	16.45
104	19917	3	13.19
3727	257	3	21.83
248	2389	5	35.73
153	981	15	89.48
276	2650	3	20.1
1135	108	19	44.37
3946	784	5	55.1
6557	4485	19	376.98
131	978	3	6.11
1338	3643	17	249.36
26575	3025	3	54.92
118	9586	5	32.58
959	591	3	19.12
6048	2478	8	124.78
23150	6916	3	59.23
103	5188	7	14.93
117	11600	3	17.41
10134	12	4	6.45
4373	110	4	9.84
132	1277	3	7.98
116	13002	4	26.59
317	441	5	22.71
27052	12	3	13.31
103	2552	10	13.39
104	2956	29	118.37
5477	12	6	5.69
106	11479	3	9.2
910	132	6	19.76
109	10273	4	17
105	20416	5	30.08
14317	190	3	30.01
215	183	17	59.1
1549	603	3	22.23
368	818	14	113.59
8776	1236	5	70.28
122	3607	3	11.03
127	1034	4	9.64
9646	12	5	9.11
1088	111	11	21.18
12	4998	11	19.93
5025	1728	3	36.65
101	4602	19	53.85
104	6120	7	19.76
4959	14	8	12.27
114	11422	4	23.14
117	11330	3	17.41
191	244	12	38.95
826	3081	4	40.28
155	2680	3	14.77
3836	402	11	124.38
1714	17400	3	47.48
2302	57	9	32.72
103	3199	21	67.75
17467	424	4	55.04
1987	307	6	46.92
1090	198	5	24.68
8412	199	3	25.7
21800	105	4	23.14
101	17626	3	7.84
103	16503	4	16.58
147	385	7	17.74
127	291	9	13.54
14827	104	3	10.67
4136	12	9	9.81
10495	101	6	14.88
114	25473	3	23.6
1480	120	24	139.73
6068	128	3	16.76
104	30270	4	30.08
110	3127	4	7.12
12344	106	9	55.36
615	2197	13	146.12
2276	109	5	6.59
167	314	19	84.29
3743	128	4	19.97
85	434	5	9.32
106	1142	50	174.1
112	400	45	130.7
101	9697	4	5.88
22441	449	3	41.65
1014	136	3	7.25
1522	1563	5	51.82
1042	950	3	22.47
101	11438	5	11.79
2300	10282	3	44.05
652	119	8	14.75
33342	106	3	23.75
113	19719	4	30.36
101	13915	3	5.85
116	1054	7	14.29
101	13762	3	5.35
268	103	72	48.49
27368	57	4	40.95
101	12149	6	17.52
2099	114	4	7.46
109	3218	28	153.44
736	259	21	164.61
114	19871	5	42.15
112	678	39	144.36
111	5018	7	29.36
108	6196	3	6.93
109	5824	3	6.73
7641	101	13	44.23
14132	105	4	16.58
1466	106	8	5.73
769	103	42	70.42
258	686	10	62
805	8	9	38.59
106	2225	10	17.12
108	739	28	62.56
118	21799	4	35.87
22729	9466	3	61.95
810	22582	3	45
143	205	25	79.2
24348	116	3	25.2
2822	102	7	6.08
2001	106	14	29.55
17478	57	3	20.18
101	8298	6	11.18
8174	101	5	7.63
402	603	7	44.65
12	11151	4	7.39
174	7242	5	44.22
11406	101	11	48.68
102	9883	3	5.81
101	9139	8	22.08
2993	12	11	9.04
106	37029	3	23.75
19911	103	5	27.57
2000	2178	5	58.2
104	11500	4	13.2
21632	8	3	31.21
103	15843	4	15.55
174	514	3	6.76
101	12622	13	77.6
14687	102	3	8.72
13666	101	4	9.43
38754	12	3	17.7
10818	108	7	39.6
113	7277	11	73.39
113	4059	3	7.54
4800	102	6	9.49
8761	109	3	9.64
12634	103	7	32.56
24604	8420	4	87.62
102	31266	3	16.69
108	589	19	22.87
5130	14	6	6.59
20867	312	3	37.55
1966	113	4	6.56
132	22169	3	29.71
59	32433	3	32.09
12	33817	3	17.7
21802	645	5	81.44
278	379	6	24.97
1599	119	4	8.81
12	6409	6	7.63
11828	103	7	31.15
101	2581	13	11.47
103	3441	29	121.66
104	4067	39	232.79
16626	102	4	16.11
664	441	4	22.93
187	1336	5	26.19
101	203	475	1051.39
12692	3707	7	129.84
798	148	4	11.41
1277	1219	7	71.04
101	2844	18	28.57
159	3446	3	16.81
5780	12	6	6.45
190	132	9	7.93
6111	109	3	7.05
12	17567	3	7.65
1715	228	3	15.71
2322	695	12	137.3
116	28864	3	27.42
2319	292	90	1350.88
367	701	4	21.29
399	1914	4	30.42
121	5257	4	20.2
27261	12	3	13.31
526	511	3	14.9
149	1884	3	12.16
106	15988	3	12.52
105	20114	3	13.63
184	4039	3	19.47
111	9240	3	11.93
10851	101	5	11.11
400	183	5	14.06
126	5813	3	16.01
2055	504	3	23.06
254	871	10	65.53
256	106	44	20.03
103	2279	11	14.37
222	1709	49	544.47
9233	107	7	30.56
161	349	5	10.32
105	670	40	71.91
102	5026	6	10.22
101	5816	10	20.41
580	403	4	20.78
11866	103	3	7.57
8798	14	6	13.81
359	761	5	29.17
450	101	120	197.76
1541	233	9	65.57
101	5490	8	12.13
1445	113	11	31.46
7676	103	8	26.95
15580	243	3	32.61
104	2515	9	12.66
161	3081	4	23.85
2267	14	10	5.55
