file_number,file_name,author,title,file_size_kb,encoding,extension
116,116 NehasSopaj .txt,Nehas Sopaj,,97.13,UTF-8-SIG,.txt
117,117 Kim Mehmeti .txt,Kim Mehmeti,,405.66,UTF-8-SIG,.txt
118,118 Rexhep Zllatku.txt,Rexhep Zllatku,,276.9,UTF-8-SIG,.txt
119,119 DRAMA - Skelzen Halimi.txt,Skelzen Halimi,,210.9,UTF-8-SIG,.txt
12,12 Славко Јаневски - Тврдоглави.txt,Славко Јаневски,Тврдоглави,869.6,UTF-8-SIG,.txt
120,120 AL- Poezija Aliu.txt,Aliu,Poezija,89.42,UTF-8-SIG,.txt
121,121 AL PoezijaII Aliu .txt,Aliu,Poezija II,81.58,UTF-8-SIG,.txt
122,122 Raskazi_Halil.txt,Halil,Raskazi,286.44,UTF-8-SIG,.txt
123,123 IzborRaskazi_FejziBojku .txt,Fejzi Bojku,Izbor Raskazi,343.24,UTF-8-SIG,.txt
124,124 IzborPOEZIJAi_FejziBojku .txt,Fejzi Bojku,Izbor Poezija,139.28,UTF-8-SIG,.txt
125,125 KRITIKA-ALI ALIU .txt,ALI ALIU,,326.33,UTF-8-SIG,.txt
126,126 IzborPoezija Abdulkadir Hayber.txt,Abdulkadir Hayber,Izbor Poezija,174.76,UTF-8-SIG,.txt
127,127 FahriKajaRaskazi .txt,Fahri Kaja,Raskazi,436.32,UTF-8-SIG,.txt
128,128 AbdulkadirHyber .txt,Abdulkadir Hyber,,139.93,UTF-8-SIG,.txt
129,129 Melahat Ali Detski Raskazi .txt,Melahat Ali,Detski Raskazi,372.56,UTF-8-SIG,.txt
13,13 Јован Бошковски - Солунските атентатори.txt,Јован Бошковски,Солунските атентатори,367.62,UTF-8-SIG,.txt
130,130 Sennur Suleyman Basar - Kritika.txt,Sennur Suleyman Basar,Kritika,267.48,UTF-8-SIG,.txt
131,131 Fahri Kaya .txt,Fahri Kaya,,350.81,UTF-8-SIG,.txt
132,132 Санде Стојчевски - Крајните потези.txt,Санде Стојчевски,Крајните потези,280.81,UTF-8-SIG,.txt
133,133 Веле Смилевски - Век за самување.txt,Веле Смилевски,Век за самување,281.76,UTF-8-SIG,.txt
134,134 Раде Силјан - Огледало на вековите.txt,Раде Силјан,Огледало на вековите,214.68,UTF-8-SIG,.txt
135,135 Бранко Цветкоски -Оган во обрачи.txt,Бранко Цветкоски,Оган во обрачи,217.0,UTF-8-SIG,.txt
14,14 Коле Чашуле - Вејка на ветрот; Така е.txt,Коле Чашуле,Вејка на ветрот; Така е,977.65,UTF-8-SIG,.txt
15,15 Блаже Конески - Лозје.txt,Блаже Конески,Лозје,393.82,UTF-8-SIG,.txt
16,16 Ацо Шопов.txt,Ацо Шопов,,175.84,UTF-8-SIG,.txt
17,17 Мето Јовановски - Будалетинки.txt,Мето Јовановски,Будалетинки,307.88,UTF-8-SIG,.txt
18,18 Србо Ивановски.txt,Србо Ивановски,,231.8,UTF-8-SIG,.txt
19,19 Матеја Матевски.txt,Матеја Матевски,,215.78,UTF-8-SIG,.txt
20,20 Гане Тодоровски.txt,Гане Тодоровски,,223.3,UTF-8-SIG,.txt
21,21 Симон Дракул - Белата долина.txt,Симон Дракул,Белата долина,925.21,UTF-8-SIG,.txt
22,22 Димитар Солев - Кратката пролет на Моно Самоников.txt,Димитар Солев,Кратката пролет на Моно Самоников,474.65,UTF-8-SIG,.txt
23,23 Анте Поповски.txt,Анте Поповски,,214.41,UTF-8-SIG,.txt
24,24 Јован Стрезовски.txt,Јован Стрезовски,,679.77,UTF-8-SIG,.txt
25,25 Благоја Иванов - Избор.txt,Благоја Иванов,Избор,852.95,UTF-8-SIG,.txt
26,26 Љубен Ташковски.txt,Љубен Ташковски,,183.32,UTF-8-SIG,.txt
27,27 Владимир Костов - Свадбата на Мара.txt,Владимир Костов,Свадбата на Мара,928.02,UTF-8-SIG,.txt
28,28 Методија Фотев - Големите Скитачи.txt,Методија Фотев,Големите Скитачи,781.65,UTF-8-SIG,.txt
29,29 Петар Ширилов - Црноборје.txt,Петар Ширилов,Црноборје,549.89,UTF-8-SIG,.txt
30,30 Петре М. Андреевски - Пиреј.txt,Петре М. Андреевски,Пиреј,813.48,UTF-8-SIG,.txt
31,31 Јован Котески - Сончева Белегија.txt,Јован Котески,Сончева Белегија,201.95,UTF-8-SIG,.txt
32,32 Бранко Варошлија - Последниот лет на птицата селица.txt,Бранко Варошлија,Последниот лет на птицата селица,269.05,UTF-8-SIG,.txt
33,33 Миле Неделковски - Потковица на смртта и надежта.txt,Миле Неделковски,Потковица на смртта и надежта,878.73,UTF-8-SIG,.txt
34,34 Живко Чинго - Пасквелија.txt,Живко Чинго,Пасквелија,422.87,UTF-8-SIG,.txt
35,35 Слободан Мицковиќ - Александар и смртта.txt,Слободан Мицковиќ,Александар и смртта,895.47,UTF-8-SIG,.txt
36,36 Ташко Георгиевски - Црвениот коњ.txt,Ташко Георгиевски,Црвениот коњ,415.12,UTF-8-SIG,.txt
37,37 Петар Бошковски.txt,Петар Бошковски,,213.27,UTF-8-SIG,.txt
