file_number,merge_key,file_name,author_from_filename,author_from_catalog,title_from_filename,title_from_catalog,genre,source,year,year_clean,original_year,file_size_kb,encoding,_merge,language,cyrillic_ratio,has_mk_chars,has_sq_chars,detection_method,langdetect_result,genre_detected,genre_final,detection_notes,is_fiction,is_original_mk,text_category
29,29,29 Петар Ширилов - Црноборје.txt,Петар Ширилов,Ширилов Петар,Црноборје,Црноборје,Проза,НИД „МИКЕНА“ - Битола,2008,1972.0,1972,549.89,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
30,30,30 Петре М. Андреевски - Пиреј.txt,Петре М. Андреевски,Андреевски Петре,Пиреј,Пиреј; Дениција,Проза / поезија,НИД „МИКЕНА“ - Битола,2008,1980.0,1980 (Пиреј),813.48,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
31,31,31 Јован Котески - Сончева Белегија.txt,Јован Котески,Котески Јован,Сончева Белегија,Сончева белегија,Поезија,НИД „МИКЕНА“ - Битола,2008,,,201.95,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 28.6, медиана: 29; каталог: Поезија",True,True,original_mk
32,32,32 Бранко Варошлија - Последниот лет на птицата селица.txt,Бранко Варошлија,Варошлија Бранко,Последниот лет на птицата селица,Последниот лет на птицата селица,Проза,НИД „МИКЕНА“ - Битола,2008,1968.0,1968,269.05,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
33,33,33 Миле Неделковски - Потковица на смртта и надежта.txt,Миле Неделковски,Неделковски Миле,Потковица на смртта и надежта,Потковица на смртта и надежта,Поезија,НИД „МИКЕНА“ - Битола,2008,,,878.73,UTF-8-SIG,both,mk,0.9993,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,каталог: Поезија,True,True,original_mk
34,34,34 Живко Чинго - Пасквелија.txt,Живко Чинго,Чинго Живко,Пасквелија,Пасквелија,Проза,НИД „МИКЕНА“ - Битола,2008,1963.0,1963,422.87,UTF-8-SIG,both,mk,0.9987,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
35,35,35 Слободан Мицковиќ - Александар и смртта.txt,Слободан Мицковиќ,Мицковиќ Слободан,Александар и смртта,Александар и смртта,Проза,НИД „МИКЕНА“ - Битола,2008,1992.0,1992,895.47,UTF-8-SIG,both,mk,0.9981,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
36,36,36 Ташко Георгиевски - Црвениот коњ.txt,Ташко Георгиевски,Ѓорѓиевски Ташко,Црвениот коњ,Црвениот коњ,Проза,НИД „МИКЕНА“ - Битола,2008,1975.0,1975,415.12,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
37,37,37 Петар Бошковски.txt,Петар Бошковски,Бошковски Т. Петар,,Некој ме уми,Поезија,НИД „МИКЕНА“ - Битола,2008,,,213.27,UTF-8-SIG,both,mk,0.9961,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 29.0, медиана: 28; каталог: Поезија",True,True,original_mk
38,38,38 Михаил Ренџов.txt,Михаил Ренџов,Ренџов Михаил,,Храм. Молитви,Поезија,НИД „МИКЕНА“ - Битола,2008,,,109.95,UTF-8-SIG,both,mk,0.9973,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 20.1, медиана: 19; каталог: Поезија",True,True,original_mk
